ido_word,esperanto_word,in_current_dict
Ariano Suassuna,Ariano Suassuna,False
Ariel Sharon,Ariel Ŝaron,False
Arif Alvi,Arif Alvi,False
Aristide Briand,Aristide Briand,False
Aristide Maillol,Aristide Maillol,False
Arjen Robben,Arjen Robben,False
Arkhip Kuindzhi,Arĥip Ivanoviĉ Kuindĵi,False
Arkipelago Kikladi,Cikladoj,False
"Arlington, Massachusetts",Arlington (Masaĉuseco),False
"Arlington, Texas",Arlington (Teksaso),False
Arlo Guthrie,Arlo Guthrie,False
Armen Sarkissian,Armen Sarkissian,False
Armeo Statala,Pola Enlanda Armeo,False
Armin Laschet,Armin Laschet,False
"Armstrong, Iowa",Armstrong (Iovao),False
Arnaldo Forlani,Arnaldo Forlani,False
Arne Tiselius,Arne Tiselius,False
Arno Hintjes,Arno Hintjens,False
Arno Penzias,Arno Allan Penzias,False
Arnold Böcklin,Arnold Böcklin,False
Arnold Rüütel,Arnold Rüütel,False
Arnold Schwarzenegger,Arnold Schwarzenegger,False
Arnold Schönberg,Arnold Schönberg,False
Arnoldo Alemán,Arnoldo Alemán,False
Arrested Development,Arrested Development,False
Arsenal F.C.,Arsenal FC,False
Art Garfunkel,Art Garfunkel,False
Art Nouveau,Secesio (stilo),False
Art Tatum,Art Tatum,False
Arthur Balfour,Arthur James Balfour,False
Arthur Henderson,Arthur Henderson,False
Arthur Honegger,Arthur Honegger,False
Arthur Koestler,Arthur Koestler,False
Arthur Machen,Arthur Machen,False
Arthur Meighen,Arthur Meighen,False
Arthur Miller,Arthur Miller,False
Arthur Rimbaud,Arthur Rimbaud,False
Arthur Schopenhauer,Arthur Schopenhauer,False
Arthur Seyss-Inquart,Arthur Seyß-Inquart,False
Artie Shaw,Artie Shaw,False
Arto Povra,Arte Povera,False
Artur Bernardes,Artur Bernardes,False
Artur Mas,Artur Mas,False
Artur Rasizadə,Artur Resizade,False
Arturo Alfandari,Arturo Alfandari,False
Arturo Frondizi,Arturo Frondizi,False
Arturo Sandoval,Arturo Sandoval,False
Arturo Toscanini,Arturo Toscanini,False
Artūras Paulauskas,Artūras Paulauskas,False
Arvo Pärt,Arvo Pärt,False
"Asahikawa, Hokkaido",Asahikaŭa,False
Asghar Farhadi,Asgar Farhadi,False
"Ashland, Kentucky",Ashland (Kentukio),False
"Ashland, Oregon",Ashland (Oregono),False
Ashley Judd,Ashley Judd,False
Ashraf Ghani,Aŝraf Ghani,False
Ashton Kutcher,Ashton Kutcher,False
Aslan Mashadov,Aslan Masĥadov,False
Associated Press,Associated Press,False
"Astorga, Hispania",Astorgo,False
Astrid Lindgren,Astrid Lindgren,False
Astronomiala Kayereto,Astronomiala Kayereto,False
Astrud Gilberto,Astrud Gilberto,False
Atahualpa Yupanqui,Atahualpa Yupanqui,False
"Atalaya, Badajoz",Atalaya,False
"Atchison, Kansas",Atchison (Kansaso),False
"Athens, Georgia",Athens (Georgio),False
"Atlanta, Georgia",Atlanta (Georgio),False
Atlantic City,Atlantic City,False
Atolo Bikini,Bikini Atolo,False
Atolo Johnston,Jonstonatolo,False
Atolo Midway,Midvejinsuloj,False
Atolo Palmyra,Palmiro,False
Aubrey Plaza,Aubrey Plaza,False
Audrey Hepburn,Audrey Hepburn,False
August Macke,August Macke,False
August Strindberg,August Strindberg,False
August Weismann,August Weismann,False
"Augusta, Georgia",Augusta (Georgio),False
"Augusta, Maine",Augusta (Majno),False
Auguste Comte,Auguste Comte,False
Auguste Piccard,Auguste Piccard,False
Auguste Rodin,Auguste Rodin,False
Augustin Fresnel,Augustin Fresnel,False
Augusto Pinochet,Augusto Pinochet,False
"Aurora, Illinois",Aurora (Ilinojso),False
Austen Chamberlain,Austen Chamberlain,False
"Austin, Texas",Aŭstino,False
Austrian Airlines,Austrian Airlines,False
Austriana Imperio,Aŭstra imperio,False
Ava Gardner,Ava Gardner,False
Avdullah Hoti,Avdullah Hoti,False
Ave Maria,Ave Maria,False
Avenuo Paulista,Avenuo Paulista,False
Avigdor Liberman,Avigdor Lieberman,False
Avram Hershko,Avram Hershko,False
Avril Lavigne,Avril Lavigne,False
Axel Wallensköld,Axel Wallensköld,False
Axl Rose,Axl Rose,False
Axo Roma-Berlin-Tokio,Akso Berlino-Romo-Tokio,False
Aya Nakamura,Aya Nakamura,False
Ayn Rand,Ayn Rand,False
Ayrton Senna,Ayrton Senna,False
Azali Assoumani,Azali Assoumani,False
Aziz Sancar,Aziz Sancar,False
Azura Marbordo,Lazura Marbordo,False
Backstreet Boys,Backstreet Boys,False
Bad Cat,Bad Cat,False
Bad Doberan,Bad Doberan,False
Bad Ischl,Bad Ischl,False
Bad Pyrmont,Bad Pyrmont,False
Baghdadi Mahmudi,Bagdadi al-Mahmudi,False
Bahram Beyzai,Bahram Bejzai,False
Bahía Blanca,Bahía Blanca,False
Bajram Begaj,Bajram Begaj,False
"Bakersfield, Kalifornia",Bakersfield,False
Bakili Muluzi,Bakili Muluzi,False
"Balboa, León",Balboa (León),False
Baldassare Galuppi,Baldassare Galuppi,False
Baldur Ragnarsson,Baldur Ragnarsson,False
Balneário Camboriú,Balneário Camboriú,False
Baltasar Gracián,Baltasar Gracián,False
Bamir Topi,Bamir Topi,False
Ban Ki-moon,Ban Ki-moon,False
Banja Luka,Banjaluko,False
Banko Grameen,Gramin-Banko,False
Banská Bystrica,Banská Bystrica,False
Barack Obama,Barack Obama,False
Barbara Bouchet,Barbara Bouchet,False
Barbara Cartland,Barbara Cartland,False
Barbara Eden,Barbara Eden,False
Barbara McClintock,Barbara McClintock,False
Barbora Strýcová,Barbora Záhlavová-Strýcová,False
Barbra Streisand,Barbra Streisand,False
"Bardstown, Kentucky",Bardstown (Kentukio),False
Barend Biesheuvel,Barend Biesheuvel,False
Barham Salih,Barham Salih,False
Barra Mansa,Barra Mansa,False
Barry Lyndon,Barry Lyndon,False
Barry White,Barry White,False
Bartolomeu Dias,Bartolomeu Dias,False
Bartolomé Mitre,Bartolomé Mitre,False
Baruj Benacerraf,Baruj Benacerraf,False
Basa Kalifornia,Baja California,False
Bastian Schweinsteiger,Bastian Schweinsteiger,False
Batalioni Ruranala,Kamparanaj Batalionoj,False
Baton Rouge,Baton Rouge (Luiziano),False
Baylor Universitato,Universitato Baylor,False
Bayo Guanabara,Golfo de Guanabara,False
Bazilio Olara-Okello,Bazilio Olara-Okello,False
Beata Szydło,Beata Szydło,False
"Beaverton, Oregon",Beaverton (Oregono),False
Bedřich Smetana,Bedřich Smetana,False
Bee Gees,Bee Gees,False
Belaya Kalitva,Belaja Kalitva,False
Belford Roxo,Belford Roxo,False
Belga Revoluciono,Belga Revolucio,False
Belize City,Belizurbo,False
Belo Horizonte,Bel-Horizonto,False
Ben Affleck,Ben Affleck,False
Ben Gazzara,Ben Gazzara,False
Ben Guerdane,Ben Gardane,False
Ben Johnson,Ben Johnson (atleto),False
Ben Stiller,Ben Stiller,False
"Benavides, León",Benavides,False
Benazir Bhutto,Benazir Bhutto,False
Benedict Cumberbatch,Benedict Cumberbatch,False
Benedicta Boccoli,Benedicta Boccoli,False
Benedikt Höwedes,Benedikt Höwedes,False
Benito Juárez,Benito Juárez,False
Benito Mussolini,Benito Mussolini,False
Benjamin Britten,Benjamin Britten,False
Benjamin Disraeli,Benjamin Disraeli,False
Benjamin Franklin,Benjamin Franklin,False
Benjamin Harrison,Benjamin Harrison,False
Benjamin Mkapa,Benjamin Mkapa,False
Benjamin Netanyahu,Benjamin Netanjahu,False
Benny Andersson,Benny Andersson,False
Benny Carter,Benny Carter,False
Benny Goodman,Benny Goodman,False
Benoit Mandelbrot,Benoît Mandelbrot,False
Bento Gonçalves,Bento Gonçalves (Suda Rio-Grando),False
Benvenuto Cellini,Benvenuto Cellini,False
Beppe Grillo,Beppe Grillo,False
"Berkeley, Kalifornia",Berkelio (Kalifornio),False
"Berlanga, Badajoz",Berlanga,False
Bernard Cazeneuve,Bernard Cazeneuve,False
Bernard Montgomery,Bernard Montgomery,False
Bernard Pivot,Bernard Pivot,False
