ido_word,esperanto_word,in_current_dict,in_wiktionary
Mitologiala biblioteko,Mitologia biblioteko,False,no
Modala logiko,Modala logiko,False,no
Modern arto,Moderna arto,False,no
Moderna pentatlo,Moderna pentatlono,False,no
Modulal aritmetiko,Modula aritmetiko,False,no
Mongola lingui,Mongola lingvaro,False,no
Mongola linguo,Mongola lingvo,False,no
Montenegrana linguo,Montenegra lingvo,False,no
Mormona bataliono,Mormona Bataliono,False,no
Mormona fundamentalismo,Mormona integrismo,False,no
Mormona kosmologio,Mormona kosmologio,False,no
Mormona pioniri,Mormonaj pioniroj,False,no
Mormona templo,Mormona templo,False,no
Mormona treko,Mormona Vojo,False,no
Muzikal instrumento,Muzika instrumento,False,no
Nacionala biblioteko,Nacia biblioteko,False,no
Nacionala ekonomio,Nacia ekonomio,False,no
Nacionala himno,Nacia himno,False,no
Napolitana linguo,Napola lingvo,False,no
Naturala cienci,Naturscienco,False,no
Naturala gaso,Tergaso,False,no
Naturala linguo,Natura lingvo,False,no
Naturala nombro,Natura nombro,False,no
Naturala persono,Fizika persono,False,no
Naturala satelito,Natura satelito,False,no
Naturala selektado,Natura selektado,False,no
Naturala yuro,Jurnaturalismo,False,no
Nauvoa legiono,Nauvoa Legio,False,no
Nedependanta laboristo,Sendependa kunlaboristo,False,no
Nederlandana linguo,Nederlanda lingvo,False,no
Neeuklidana geometrio,Neeŭklidaj geometrioj,False,no
Neneca linguo,Neneca lingvo,False,no
Neorganika kemio,Neorganika kemio,False,no
Nepali linguo,Nepala lingvo,False,no
Neracionala nombro,Neracionala nombro,False,no
Nestala parazito,Nestoparazitado,False,no
Nevarianta maso,Invarianta maso,False,no
Nganasan linguo,Nganasana lingvo,False,no
Nigra magio,Nigra magio,False,no
Nigra pesto,Nigra morto,False,no
Nitroz oxido,Ridgaso,False,no
Nivelacenso maraquala,Marnivela leviĝo,False,no
Nobla metalo,Nobla metalo,False,no
Nombral axo,Nombra akso,False,no
Norda polo,Norda poluso,False,no
Nordala mitologio,Nord-ĝermana mitologio,False,no
Norvegiana linguo,Norvega lingvo,False,no
Nov latin,Nov Latin,False,no
Nova kristano,Novkristano,False,no
Novembra revolto,Novembra ribelo,False,no
Novodevichy kuvento,Novodeviĉij monaĥejo,False,no
Nubala komputado,Nuba komputado,False,no
Nukleal armo,Nuklea armilo,False,no
Nukleo atomala,Atomkerno,False,no
Nuntempal epoko,Nuntempa epoko,False,no
Nuristana lingui,Nuristana lingvaro,False,no
Nutriva kateno,Manĝoĉeno,False,no
Nutrivala plusajo,Nutraĵa aldonaĵo,False,no
Oceaniana lingui,Oceania lingvaro,False,no
Ocidentala filozofio,Okcidenta filozofio,False,no
Ocitaniana linguo,Okcitana lingvo,False,no
Odin,Odino,False,no
Oktala nombrosistemo,Okuma nombrosistemo,False,no
Operaco binara,Duvalenta operacio,False,no
Optikal arto,Optika arto,False,no
Oranjea revoluciono,Oranĝa Revolucio,False,no
Ordinala nombro,Ordonombro,False,no
Orea aglo,Reĝa aglo,False,no
Orea lanofelo,Ora ŝaffelo,False,no
Oreatra shakalo,Ora ŝakalo,False,no
Oregon,Oregono,False,no
Organika kemio,Organika kemio,False,no
Origina mito,Origina mito,False,no
Ornamentala planto,Ornamplanto,False,no
Orta triangulo,Orta triangulo,False,no
Osetiana linguo,Oseta lingvo,False,no
Palestinana teritorii,Palestiniaj teritorioj,False,no
Palikir,Palikiro,False,no
Pankreatala kancero,Pankreata karcinomo,False,no
Paralela komputado,Paralela komputado,False,no
Parmana fromajo,Parmezano,False,no
Paskala ovo,Paska ovo,False,no
Patro nia,Patro nia,False,no
Pedofilala movado,Pedofilia movado,False,no
Pelagika zono,Pelaga zono,False,no
Peptida ligilo,Peptida ligilo,False,no
Periodala tabelo,Perioda tabelo,False,no
Persiana gulfo,Persa Golfo,False,no
Persiana linguo,Persa lingvo,False,no
Personal uniono,Persona unio,False,no
Personala komputero,Persona komputilo,False,no
Piemontana linguo,Piemonta lingvo,False,no
Pipro nigra,Nigra pipro,False,no
Pitagorala komo,Pitagora komao,False,no
Platon,Platono,False,no
Polala koordinati,Polusa koordinatsistemo,False,no
Polara cirklo,Polusa cirklo,False,no
Poligona nombro,Plurlatera nombro,False,no
Polineziana lingui,Polinezia lingvaro,False,no
Politikala dextro,Politika dekstro,False,no
Politikala korekteso,Politika ĝusteco,False,no
Politikala sinistro,Politika maldekstro,False,no
